,Overall
duration,0.0007692935979195817
protocol_type,0.018347745214922155
service,0.016858577243804074
flag,0.4820440932543376
src_bytes,0.002238851656070183
dst_bytes,0.00099230695925637
land,0.0
wrong_fragment,0.0015715855744687836
urgent,0.0
hot,0.005960282660084349
num_failed_logins,0.0
logged_in,0.0025960848951048694
num_compromised,0.0013742500719196088
root_shell,0.0
su_attempted,0.0
num_file_creations,0.0003739126094039489
num_shells,0.0
num_access_files,0.0
is_hot_login,0.0
_count,0.03558064005209932
srv_count,0.01170010070079789
serror_rate,0.005757784067152123
rerror_rate,0.0009297076960355213
diff_srv_rate,0.007633973690771076
srv_diff_host_rate,0.0
dst_host_count,0.012114935770506874
dst_host_srv_count,0.01661303047729383
dst_host_diff_srv_rate,0.1024805996137169
dst_host_same_src_port_rate,0.054511569672622696
dst_host_srv_diff_host_rate,0.0018545076867724601
last_flag,0.21769616683493978
